hournorain,t2mmax,t2mmean,t2mmin,tprecmax,t2m,ts,qv2m,prectot,speed,dmc,fwi,dsr,dc,isi,bui,ffmc,fcount_terra,frp_terra,fcount_aqua,frp_aqua,year,month,day
-0.2633,-0.6125,-0.5962,-0.3,-0.3559,-0.5962,-0.626,0.7886,-0.2991,1.0001,-0.0334,0.1385,0.3009,-1.3904,0.2804,-0.2553,-0.6223,20,0.87,12,0.81,2005,7,9
0.1909,-0.85,-0.7807,-0.6155,-0.4607,-0.7807,-0.6873,1.0073,-0.3654,0.7269,-0.023,-0.4301,-0.3664,-1.3869,-0.3944,-0.2445,-0.6675,10,0.16,7,0.11,2005,7,10
1.1214,0.5438,0.0012,-0.278,-0.4712,0.0012,0.0743,0.9211,-0.4938,-0.6819,0.0306,-0.7136,-0.7522,-1.3775,-0.768,-0.1962,-0.0383,4,0.23,1,0.04,2005,7,11
1.4124,1.399,1.1687,0.9881,-0.4627,1.1687,0.8762,0.2468,-0.3852,-0.983,0.1146,0.1187,0.0658,-1.359,0.0691,-0.1179,0.4214,0,0,3,0.12,2005,7,12
1.239,1.7165,1.4506,1.1354,-0.3398,1.4506,1.1596,0.0549,-0.3246,-0.1684,0.2232,0.4078,0.3868,-1.3385,0.396,-0.0096,0.6916,0,0,2,0.47,2005,7,13
0.8218,1.833,1.5652,1.0499,-0.3862,1.5652,1.4928,-0.0004,-0.4122,-0.071,0.2853,-0.4199,-0.5825,-1.3151,-0.5746,0.0562,0.7718,1,0.01,11,0.45,2005,7,14
0.4409,1.9445,1.8934,1.5944,-0.4827,1.8934,1.8019,0.5117,-0.5162,-0.7065,0.3565,0.2412,0.1167,-1.3009,0.1167,0.1202,0.9009,1,0.02,0,0,2005,7,15
0.988,1.7804,1.7476,1.5402,-0.4592,1.7476,1.7136,0.9751,-0.5119,-0.379,0.416,0.8639,0.8458,-1.2902,0.8637,0.1722,1.0534,49,4.86,40,5.55,2005,7,16
1.2545,1.7518,1.5198,1.2598,-0.5561,1.5198,1.5267,0.6145,-0.5306,0.1612,0.516,0.5382,0.4091,-1.282,0.3712,0.2557,0.9577,173,33.85,82,11.43,2005,7,17
1.3464,1.6714,1.5922,1.4109,-0.5857,1.5922,1.6152,0.3905,-0.654,-0.3486,0.6493,0.1348,-0.0389,-1.268,-0.0705,0.3765,0.9389,90,12.83,33,5.19,2005,7,18
0.9395,1.7437,1.8827,1.7521,-0.5655,1.8827,1.7451,0.6713,-0.5073,0.15,0.7136,1.0777,1.0849,-1.2424,1.0507,0.4434,0.8779,35,4.04,49,8,2005,7,19
0.5502,1.5905,1.7894,1.7037,-0.5107,1.7894,1.6411,0.6189,-0.4323,0.0215,0.7801,0.5137,0.3822,-1.2175,0.3322,0.5141,0.7637,18,0.72,19,4.29,2005,7,20
-1.2657,1.1501,1.5248,2.1011,0.2864,1.5248,1.3018,0.9869,-0.0682,-0.4678,0.8821,0.4887,0.4173,-1.1794,0.3808,0.6077,0.3503,5,0.43,5,0.2,2005,7,21
-0.525,0.6217,0.9116,1.0808,0.9082,0.9116,0.9942,1.8476,-0.0054,0.8101,0.3345,0.2229,0.1359,-1.146,0.1156,0.1527,-0.0843,6,0.43,7,0.37,2005,7,22
0.1517,0.9189,0.8246,0.8508,0.1637,0.8246,0.8945,1.2254,0.0449,-0.5863,-0.2455,-0.9332,-1.0962,-1.1572,-1.1211,-0.37,-0.3112,17,0.56,7,0.7,2005,7,23
-0.191,0.1858,0.6434,0.9008,2.3523,0.6434,0.4748,1.3065,2.8628,-0.6807,-1.0554,-0.9498,-0.7541,-1.4186,-0.7928,-1.1736,-1.6956,7,0.11,5,0.22,2005,7,24
0.2195,0.2532,0.0871,-0.0274,-0.1781,0.087,0.1808,0.746,-0.1786,-0.0516,-1.0139,-0.3964,-0.497,-1.4164,-0.4781,-1.1412,0.0087,7,0.17,7,0.82,2005,7,25
1.118,0.3676,0.0862,-0.2888,-0.4694,0.0862,0.2037,-0.2605,-0.5019,0.4072,-1.0182,-0.4682,-0.6222,-1.4042,-0.5864,-1.1384,0.4533,7,0.35,12,0.57,2005,7,26
1.0814,0.8581,0.7293,0.5055,-0.5294,0.7293,0.5967,0.009,-0.4667,-1.0616,-0.9573,0.0807,-0.0706,-1.3899,-0.0145,-1.0698,0.5664,7,0.16,4,0.5,2005,7,27
0.5678,0.6113,0.9688,1.0346,-0.3411,0.9687,0.7489,0.447,-0.3714,0.1718,-0.9137,0.7706,0.7614,-1.3864,0.8338,-1.0262,0.3707,11,0.51,7,0.08,2005,7,28
-0.4833,0.1374,0.7588,1.3071,0.6408,0.7588,0.7299,1.6551,0.2335,-0.4218,-0.9818,-0.5142,-0.5567,-1.3886,-0.5421,-1.1017,-0.7494,6,0.22,6,1.25,2005,7,29
-0.7171,-0.1878,0.2751,0.6365,0.2424,0.2751,0.5241,2.302,0.3767,-1.1206,-1.1662,-1.7411,-1.5834,-1.3952,-1.6018,-1.2719,-1.9247,5,0.2,21,1.15,2005,7,30
-0.7704,0.0698,0.7628,1.0795,-0.1998,0.7628,0.8265,1.8039,-0.1799,-1.4056,-1.0585,-0.9715,-1.0341,-1.3751,-1.0119,-1.1572,-0.6509,15,3.44,15,1.76,2005,7,31
